Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7
0.04,0.93,-0.2,0.98
0.06,0.92,-0.21,-0.13
0.08,0.92,-0.22,-1.07
0.1,0.91,-0.25,-1.91
0.12,0.91,-0.3,-2.19
0.14,0.9,-0.37,-1.33
0.16,0.89,-0.36,-0.38
0.18,0.89,-0.34,-0.61
0.2,0.88,-0.37,-1.64
0.22,0.87,-0.43,-1.7
0.24,0.86,-0.47,-0.85
0.26,0.86,-0.45,-0.26
0.28,0.85,-0.46,-0.28
0.3,0.84,-0.47,-0.37
0.32,0.83,-0.47,-0.24
0.34,0.82,-0.48,-0.33
0.36,0.81,-0.48,-0.58
0.38,0.8,-0.5,-0.76
0.4,0.79,-0.52,-0.72
0.42,0.78,-0.53,-0.54
0.44,0.77,-0.54,0.01
0.46,0.76,-0.55,0.42
0.48,0.75,-0.5,-0.1
0.5,0.73,-0.52,-1.48
0.52,0.73,-0.58,-0.22
0.54,0.71,-0.65,2.99
0.56,0.7,-0.4,2.48
0.58,0.69,-0.34,-3.24
0.6,0.71,-0.59,-8.21
0.62,0.66,-0.85,-4.98
0.64,0.65,-0.88,1.08
0.66,0.64,-0.65,3.35
0.68,0.62,-0.66,1.88
0.7,0.61,-0.66,0.22
0.72,0.6,-0.64,0.23
0.74,0.59,-0.64,-0.07
0.76,0.57,-0.65,-0.36
0.78,0.56,-0.66,-0.39
0.8,0.55,-0.67,-0.37
0.82,0.53,-0.67,-0.35
0.84,0.52,-0.68,-0.32
0.86,0.51,-0.69,-0.26
0.88,0.49,-0.69,-0.19
0.9,0.48,-0.69,-0.11
0.92,0.46,-0.7,-0.04
0.94,0.45,-0.7,0.02
0.96,0.44,-0.69,0.04
0.98,0.42,-0.69,-0.02
1.0,0.41,-0.69,-0.14
1.02,0.4,-0.7,-0.25
1.04,0.38,-0.7,-0.28
1.06,0.37,-0.71,-0.23
1.08,0.35,-0.71,-0.18
1.1,0.34,-0.72,-0.19
1.12,0.32,-0.72,-0.23
1.14,0.31,-0.73,-0.22
1.16,0.3,-0.73,-0.16
1.18,0.28,-0.73,-0.1
1.2,0.27,-0.73,-0.07
1.22,0.25,-0.74,-0.08
1.24,0.24,-0.74,-0.12
1.26,0.22,-0.74,-0.17
1.28,0.21,-0.74,-0.18
1.3,0.19,-0.75,-0.15
1.32,0.18,-0.75,0.33
1.34,0.16,-0.75,2.42
1.36,0.15,-0.7,6.17
1.38,0.13,-0.51,9.46
1.4,0.12,-0.25,9.47
1.42,0.12,-0.06,4.87
1.44,0.12,-0.01,120.41
1.46,0.12,-0.17,360.4
