Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4
0.02,1.03,-0.03,
0.04,1.03,-0.01,0.36
0.06,1.03,-0.01,-0.65
0.08,1.03,-0.04,-1.54
0.1,1.02,-0.08,-2.29
0.12,1.02,-0.13,-3.11
0.14,1.02,-0.2,-4.15
0.16,1.01,-0.29,-5.45
0.18,1.01,-0.41,-6.71
0.2,1.0,-0.57,-7.31
0.22,0.99,-0.73,-6.67
0.24,0.97,-0.86,-5.45
0.26,0.95,-0.93,-5.21
0.28,0.93,-1.02,-6.18
0.3,0.91,-1.18,-6.65
0.32,0.88,-1.34,-5.06
0.34,0.86,-1.41,-2.96
0.36,0.83,-1.41,-2.62
0.38,0.8,-1.47,-2.93
0.4,0.77,-1.59,-2.9
0.42,0.74,-1.58,-3.41
0.44,0.7,-1.65,-5.69
0.46,0.68,-1.82,-7.9
0.48,0.63,-2.03,-6.57
0.5,0.59,-2.15,-3.62
0.52,0.55,-2.11,-1.67
0.54,0.5,-2.17,-1.81
0.56,0.46,-2.21,-2.65
0.58,0.42,-2.27,-2.76
0.6,0.37,-2.33,-2.58
0.62,0.32,-2.38,-2.12
0.64,0.27,-2.41,-1.86
0.66,0.23,-2.45,
0.68,0.18,-2.49,
