Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.72,0.78,0.72,0.75,0.72,0.71,0.72,0.78,0.72,0.66,0.72,0.77,0.72,0.57,0.72,0.47,0.72,0.6,0.72,0.64
0.74,0.77,0.74,0.73,0.74,0.7,0.74,0.77,0.74,0.65,0.74,0.77,0.74,0.56,0.74,0.45,0.74,0.59,0.74,0.63
0.76,0.76,0.76,0.72,0.76,0.69,0.76,0.76,0.76,0.64,0.76,0.76,0.76,0.55,0.76,0.44,0.76,0.58,0.76,0.61
0.78,0.75,0.78,0.71,0.78,0.67,0.78,0.75,0.78,0.63,0.78,0.74,0.78,0.53,0.78,0.42,0.78,0.57,0.78,0.6
0.8,0.73,0.8,0.7,0.8,0.66,0.8,0.73,0.8,0.61,0.8,0.73,0.8,0.52,0.8,0.41,0.8,0.55,0.8,0.59
0.8200000000000001,0.72,0.8200000000000001,0.68,0.8200000000000001,0.65,0.8200000000000001,0.72,0.8200000000000001,0.6,0.8200000000000001,0.72,0.8200000000000001,0.51,0.8200000000000001,0.39,0.8200000000000001,0.54,0.8200000000000001,0.58
0.84,0.71,0.84,0.67,0.84,0.64,0.84,0.71,0.84,0.59,0.84,0.7,0.84,0.49,0.84,0.38,0.84,0.53,0.84,0.56
0.86,0.7,0.86,0.66,0.86,0.62,0.86,0.7,0.86,0.58,0.86,0.69,0.86,0.48,0.86,0.36,0.86,0.52,0.86,0.55
0.88,0.68,0.88,0.65,0.88,0.61,0.88,0.69,0.88,0.57,0.88,0.68,0.88,0.46,0.88,0.35,0.88,0.51,0.88,0.54
0.9,0.67,0.9,0.63,0.9,0.6,0.9,0.67,0.9,0.55,0.9,0.67,0.9,0.45,0.9,0.33,0.9,0.5,0.9,0.53
0.92,0.66,0.92,0.62,0.92,0.58,0.92,0.66,0.92,0.54,0.92,0.65,0.92,0.44,0.92,0.32,0.92,0.48,0.92,0.51
0.9400000000000001,0.65,0.9400000000000001,0.61,0.9400000000000001,0.57,0.9400000000000001,0.65,0.9400000000000001,0.53,0.9400000000000001,0.64,0.9400000000000001,0.42,0.9400000000000001,0.31,0.9400000000000001,0.47,0.9400000000000001,0.5
0.96,0.63,0.96,0.61,0.96,0.56,0.96,0.63,0.96,0.51,0.96,0.63,0.96,0.41,0.96,0.29,0.96,0.46,0.96,0.49
0.98,0.62,0.98,0.59,0.98,0.55,0.98,0.62,0.98,0.5,0.98,0.61,0.98,0.4,0.98,0.27,0.98,0.44,0.98,0.47
1.0,0.61,1.0,0.57,1.0,0.54,1.0,0.61,1.0,0.49,1.0,0.6,1.0,0.38,1.0,0.26,1.0,0.43,1.0,0.46
1.02,0.59,1.02,0.56,1.02,0.52,1.02,0.59,1.02,0.47,1.02,0.59,1.02,0.37,1.02,0.24,1.02,0.42,1.02,0.45
1.04,0.58,1.04,0.55,1.04,0.51,1.04,0.58,1.04,0.46,1.04,0.57,1.04,0.35,1.04,0.23,1.04,0.4,1.04,0.43
1.06,0.56,1.06,0.53,1.06,0.49,1.06,0.57,1.06,0.44,1.06,0.56,1.06,0.34,1.06,0.21,1.06,0.39,1.06,0.42
1.08,0.55,1.08,0.52,1.08,0.48,1.08,0.55,1.08,0.43,1.08,0.55,1.08,0.32,1.08,0.19,1.08,0.38,1.08,0.41
1.1,0.53,1.1,0.5,1.1,0.47,1.1,0.54,1.1,0.41,1.1,0.53,1.1,0.31,1.1,0.18,1.1,0.36,1.1,0.39
1.12,0.52,1.12,0.49,1.12,0.45,1.12,0.52,1.12,0.4,1.12,0.52,1.12,0.3,1.12,0.16,1.12,0.35,1.12,0.38
1.1400000000000001,0.5,1.1400000000000001,0.48,1.1400000000000001,0.44,1.1400000000000001,0.51,1.1400000000000001,0.39,1.1400000000000001,0.5,1.1400000000000001,0.28,1.1400000000000001,0.15,1.1400000000000001,0.33,1.1400000000000001,0.37
1.16,0.49,1.16,0.47,1.16,0.43,1.16,0.49,1.16,0.37,1.16,0.49,1.16,0.27,1.16,0.13,1.16,0.32,1.16,0.36
1.18,0.47,1.18,0.45,1.18,0.42,1.18,0.48,1.18,0.36,1.18,0.47,1.18,0.25,1.18,0.12,1.18,0.31,1.18,0.34
1.2,0.46,1.2,0.44,1.2,0.41,1.2,0.46,1.2,0.34,1.2,0.46,1.2,0.24,1.2,0.12,1.2,0.29,1.2,0.33
1.22,0.44,1.22,0.42,1.22,0.39,1.22,0.45,1.22,0.33,1.22,0.45,1.22,0.22,1.22,0.12,1.22,0.28,1.22,0.32
1.24,0.43,1.24,0.41,1.24,0.38,1.24,0.44,1.24,0.32,1.24,0.43,1.24,0.21,1.24,0.12,1.24,0.27,1.24,0.3
1.26,0.41,1.26,0.4,1.26,0.37,1.26,0.42,1.26,0.3,1.26,0.42,1.26,0.19,1.26,0.12,1.26,0.25,1.26,0.29
1.28,0.4,1.28,0.38,1.28,0.35,1.28,0.41,1.28,0.29,1.28,0.4,1.28,0.18,1.28,0.12,1.28,0.23,1.28,0.28
1.3,0.38,1.3,0.37,1.3,0.34,1.3,0.39,1.3,0.27,1.3,0.39,1.3,0.16,1.3,0.12,1.3,0.22,1.3,0.27
1.32,0.37,1.32,0.36,1.32,0.33,1.32,0.38,1.32,0.26,1.32,0.38,1.32,0.15,1.32,0.14,1.32,0.2,1.32,0.25
1.34,0.35,1.34,0.34,1.34,0.32,1.34,0.36,1.34,0.24,1.34,0.36,1.34,0.13,1.34,,1.34,0.19,1.34,0.24
1.36,0.34,1.36,0.33,1.36,0.3,1.36,0.35,1.36,0.23,1.36,0.35,1.36,0.12,1.36,,1.36,0.17,1.36,
1.3800000000000001,0.32,1.3800000000000001,0.32,1.3800000000000001,0.29,1.3800000000000001,0.33,1.3800000000000001,0.21,1.3800000000000001,0.34,1.3800000000000001,0.12,1.3800000000000001,,1.3800000000000001,0.15,1.3800000000000001,
1.4000000000000001,0.31,1.4000000000000001,0.3,1.4000000000000001,0.28,1.4000000000000001,0.32,1.4000000000000001,0.2,1.4000000000000001,0.33,1.4000000000000001,0.12,1.4000000000000001,,1.4000000000000001,0.14,1.4000000000000001,
1.42,0.29,1.42,0.29,1.42,0.27,1.42,0.3,1.42,0.19,1.42,0.31,1.42,0.12,1.42,,1.42,0.12,1.42,
1.44,0.28,1.44,0.27,1.44,0.28,1.44,0.29,1.44,0.17,1.44,0.3,1.44,,1.44,,1.44,0.12,1.44,
1.46,0.26,1.46,0.26,1.46,0.26,1.46,0.27,1.46,0.16,1.46,0.29,1.46,,1.46,,1.46,,1.46,
1.48,0.24,1.48,0.25,1.48,0.25,1.48,0.25,1.48,0.14,1.48,0.27,1.48,,1.48,,1.48,,1.48,
1.5,0.23,1.5,0.23,1.5,0.24,1.5,0.24,1.5,0.13,1.5,0.25,1.5,,1.5,,1.5,,1.5,
1.52,0.21,1.52,0.22,1.52,0.21,1.52,0.22,1.52,0.12,1.52,0.24,1.52,,1.52,,1.52,,1.52,
1.54,0.2,1.54,0.2,1.54,0.19,1.54,0.21,1.54,0.12,1.54,0.23,1.54,,1.54,,1.54,,1.54,
1.56,0.18,1.56,0.19,1.56,0.17,1.56,0.19,1.56,0.13,1.56,0.21,1.56,,1.56,,1.56,,1.56,
1.58,0.16,1.58,0.18,1.58,0.16,1.58,0.18,1.58,0.12,1.58,0.2,1.58,,1.58,,1.58,,1.58,
1.6,0.15,1.6,0.16,1.6,0.14,1.6,0.16,1.6,,1.6,0.19,1.6,,1.6,,1.6,,1.6,
1.62,0.14,1.62,0.15,1.62,,1.62,0.15,1.62,,1.62,0.17,1.62,,1.62,,1.62,,1.62,
1.6400000000000001,0.13,1.6400000000000001,0.13,1.6400000000000001,,1.6400000000000001,0.14,1.6400000000000001,,1.6400000000000001,0.16,1.6400000000000001,,1.6400000000000001,,1.6400000000000001,,1.6400000000000001,
1.6600000000000001,0.13,1.6600000000000001,0.12,1.6600000000000001,,1.6600000000000001,0.13,1.6600000000000001,,1.6600000000000001,0.14,1.6600000000000001,,1.6600000000000001,,1.6600000000000001,,1.6600000000000001,
1.68,0.12,1.68,0.12,1.68,,1.68,0.13,1.68,,1.68,0.13,1.68,,1.68,,1.68,,1.68,
1.7,,1.7,0.12,1.7,,1.7,0.13,1.7,,1.7,0.12,1.7,,1.7,,1.7,,1.7,
1.72,,1.72,0.12,1.72,,1.72,0.13,1.72,,1.72,0.12,1.72,,1.72,,1.72,,1.72,
1.74,,1.74,,1.74,,1.74,0.13,1.74,,1.74,0.12,1.74,,1.74,,1.74,,1.74,
