Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3
0.0,1.05,,
0.02,1.05,-0.01,
0.04,1.05,-0.01,0.4
0.06,1.05,0.0,0.22
0.08,1.05,0.0,0.11
0.1,1.05,0.0,0.03
0.12,1.05,0.0,-0.08
0.14,1.05,0.0,-0.56
0.16,1.05,0.0,-1.68
0.18,1.05,-0.05,-3.19
0.2,1.05,-0.14,-4.48
0.22,1.04,-0.24,-5.18
0.24,1.04,-0.35,-5.64
0.26,1.03,-0.46,-6.09
0.28,1.02,-0.6,-6.4
0.3,1.01,-0.73,-6.38
0.32,0.99,-0.85,-6.15
0.34,0.97,-0.97,-5.92
0.36,0.95,-1.09,-5.71
0.38,0.93,-1.2,-5.49
0.4,0.9,-1.31,-5.25
0.42,0.87,-1.41,-5.02
0.44,0.85,-1.51,-4.83
0.46,0.81,-1.61,-4.7
0.48,0.78,-1.7,-4.58
0.5,0.75,-1.79,-4.47
0.52,0.71,-1.88,-4.38
0.54,0.67,-1.96,-4.29
0.56,0.63,-2.05,-4.16
0.58,0.59,-2.13,-3.98
0.6,0.55,-2.21,-3.77
0.62,0.5,-2.28,-3.52
0.64,0.45,-2.35,-3.32
0.66,0.41,-2.41,-3.23
0.68,0.36,-2.48,-3.25
0.7,0.31,-2.54,-1.14
0.72,0.26,-2.61,7.05
0.74,0.2,-2.42,23.04
0.76,0.15,-1.76,
0.78,0.12,-0.63,
