Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3
0.02,0.9,-0.03,
0.04,0.9,-0.02,0.43
0.06,0.9,-0.01,0.39
0.08,0.9,0.0,0.27
0.1,0.9,0.0,0.05
0.12,0.9,0.000937,-0.18
0.14,0.9,-0.01,-0.34
0.16,0.9,-0.01,-0.38
0.18,0.9,-0.02,-0.3
0.2,0.9,-0.03,-0.23
0.22,0.9,-0.03,-0.43
0.24,0.9,-0.04,-1.0
0.26,0.9,-0.07,-1.55
0.28,0.89,-0.11,-0.95
0.3,0.89,-0.14,-0.14
0.32,0.89,-0.08,-1.03
0.34,0.89,-0.12,-3.7
0.36,0.89,-0.26,-5.48
0.38,0.87,-0.4,-3.84
0.4,0.87,-0.45,-0.86
0.42,0.86,-0.39,0.98
0.44,0.85,-0.38,0.92
0.46,0.84,-0.36,0.03
0.48,0.84,-0.37,-0.66
0.5,0.83,-0.39,-1.11
0.52,0.82,-0.42,-1.15
0.54,0.81,-0.44,-1.16
0.56,0.81,-0.46,-1.3
0.58,0.8,-0.49,-1.19
0.6,0.79,-0.52,-0.43
0.62,0.77,-0.52,0.47
0.64,0.76,-0.48,0.49
0.66,0.76,-0.47,-0.55
0.68,0.75,-0.51,-1.32
0.7,0.73,-0.56,-1.16
0.72,0.72,-0.56,-0.84
0.74,0.71,-0.56,-1.1
0.76,0.7,-0.61,-1.45
0.78,0.69,-0.64,-0.96
0.8,0.67,-0.65,-0.19
0.82,0.66,-0.63,0.06
0.84,0.65,-0.64,-0.23
0.86,0.64,-0.65,-0.49
0.88,0.62,-0.66,-0.13
0.9,0.61,-0.67,0.6
0.92,0.6,-0.64,1.07
0.94,0.58,-0.6,0.77
0.96,0.57,-0.6,-0.11
0.98,0.56,-0.61,-0.89
1.0,0.55,-0.64,-1.22
1.02,0.54,-0.67,-1.04
1.04,0.52,-0.69,-0.45
1.06,0.51,-0.69,0.27
1.08,0.49,-0.67,0.67
1.1,0.48,-0.65,0.59
1.12,0.47,-0.65,0.32
1.14,0.45,-0.64,0.33
1.16,0.44,-0.64,0.7
1.18,0.43,-0.62,0.91
1.2,0.42,-0.59,0.46
1.22,0.41,-0.59,-0.53
1.24,0.39,-0.62,-1.14
1.26,0.38,-0.65,-0.94
1.28,0.37,-0.66,-0.36
1.3,0.35,-0.66,0.05
1.32,0.34,-0.66,0.16
1.34,0.33,-0.65,0.22
1.36,0.32,-0.65,0.56
1.38,0.3,-0.64,2.55
1.4,0.29,-0.6,5.47
1.42,0.28,-0.39,5.91
1.44,0.27,-0.24,1.6
1.46,0.28,-0.29,-5.17
1.48,0.26,-0.51,-9.51
1.5,0.25,-0.74,-9.95
1.52,0.24,-0.93,-6.81
1.54,0.21,-1.07,-1.11
1.56,0.19,-1.0,4.56
1.58,0.17,-0.8,5.72
1.6,0.16,-0.64,101.22
1.62,0.14,-0.74,296.96
