Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8
0.0,1.02,,
0.02,1.02,-0.01,
0.04,1.02,0.0,0.34
0.06,1.02,0.0,0.09
0.08,1.02,0.0,-0.06
0.1,1.02,-0.01,-0.2
0.12,1.02,-0.01,-0.61
0.14,1.02,-0.02,-1.3
0.16,1.02,-0.06,-2.11
0.18,1.01,-0.11,-3.12
0.2,1.01,-0.17,-4.46
0.22,1.01,-0.28,-5.7
0.24,1.0,-0.42,-5.98
0.26,0.99,-0.54,-5.32
0.28,0.98,-0.63,-4.54
0.3,0.97,-0.71,-4.19
0.32,0.95,-0.8,-4.08
0.34,0.93,-0.88,-3.81
0.36,0.91,-0.95,-3.47
0.38,0.9,-1.02,-3.13
0.4,0.87,-1.08,-2.95
0.42,0.85,-1.13,-2.9
0.44,0.83,-1.19,-2.85
0.46,0.81,-1.25,-2.74
0.48,0.78,-1.3,-2.31
0.5,0.75,-1.35,-1.65
0.52,0.73,-1.37,-1.22
0.54,0.7,-1.38,-1.97
0.56,0.67,-1.42,-3.59
0.58,0.64,-1.54,-4.42
0.6,0.61,-1.64,-3.53
0.62,0.57,-1.69,-2.07
0.64,0.54,-1.69,-1.27
0.66,0.51,-1.73,-0.72
0.68,0.47,-1.75,-0.07
0.7,0.44,-1.72,0.28
0.72,0.4,-1.71,-0.22
0.74,0.37,-1.73,-0.81
0.76,0.33,-1.76,-0.78
0.78,0.3,-1.77,-0.53
0.8,0.26,-1.77,-0.47
0.82,0.23,-1.79,
0.84,0.19,-1.8,
