Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
0.04,0.86,0.0,0.5
0.06,0.86,0.0,0.2
0.08,0.86,0.00018,-0.02
0.1,0.86,-0.000535,-0.24
0.12,0.86,-0.01,-0.58
0.14,0.86,-0.02,-1.01
0.16,0.86,-0.05,-1.4
0.18,0.86,-0.08,-1.6
0.2,0.86,-0.12,-1.53
0.22,0.86,-0.15,-1.07
0.24,0.85,-0.17,-0.53
0.26,0.85,-0.16,-0.59
0.28,0.85,-0.17,-1.53
0.3,0.84,-0.22,-2.55
0.32,0.84,-0.29,-2.51
0.34,0.83,-0.34,-1.59
0.36,0.82,-0.34,-1.06
0.38,0.82,-0.36,-1.35
0.4,0.81,-0.4,-1.57
0.42,0.8,-0.44,-1.07
0.44,0.79,-0.45,-0.26
0.46,0.78,-0.44,0.08
0.48,0.77,-0.44,-0.06
0.5,0.77,-0.44,-0.29
0.52,0.76,-0.45,-0.42
0.54,0.75,-0.46,-0.45
0.56,0.74,-0.47,-0.48
0.58,0.73,-0.48,-0.46
0.6,0.72,-0.49,-0.4
0.62,0.71,-0.5,-0.36
0.64,0.7,-0.5,-0.39
0.66,0.69,-0.51,-0.25
0.68,0.68,-0.52,-0.05
0.7,0.67,-0.51,0.01
0.72,0.66,-0.51,-0.34
0.74,0.65,-0.52,-0.86
0.76,0.64,-0.55,-1.14
0.78,0.63,-0.57,-1.28
0.8,0.61,-0.59,-1.15
0.82,0.6,-0.63,-0.88
0.84,0.59,-0.63,-0.41
0.86,0.58,-0.64,-0.07
0.88,0.56,-0.63,0.0
0.9,0.55,-0.64,-0.04
0.92,0.54,-0.64,-0.14
0.94,0.53,-0.64,-0.18
0.96,0.51,-0.64,-0.15
0.98,0.5,-0.65,-0.12
1.0,0.49,-0.64,-0.31
1.02,0.47,-0.65,-0.59
1.04,0.46,-0.68,-0.59
1.06,0.45,-0.69,-0.05
1.08,0.43,-0.68,0.62
1.1,0.42,-0.66,0.95
1.12,0.41,-0.63,0.68
1.14,0.39,-0.62,-0.07
1.16,0.38,-0.63,-0.73
1.18,0.37,-0.66,-0.75
1.2,0.36,-0.68,-0.19
1.22,0.34,-0.67,0.3
1.24,0.33,-0.65,0.37
1.26,0.32,-0.65,0.33
1.28,0.3,-0.65,0.41
1.3,0.29,-0.63,0.57
1.32,0.28,-0.62,0.73
1.34,0.27,-0.61,3.22
1.36,0.25,-0.59,8.18
1.38,0.24,-0.28,9.79
