Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9
0.04,1.0,0.03,2.0
0.06,1.0,0.02,-2.97
0.08,1.01,-0.12,-5.9
0.1,1.0,-0.27,-6.17
0.12,0.99,-0.39,-4.79
0.14,0.99,-0.45,-3.55
0.16,0.98,-0.52,-2.99
0.18,0.96,-0.57,-3.06
0.2,0.95,-0.63,-3.26
0.22,0.94,-0.71,-3.24
0.24,0.92,-0.77,-2.85
0.26,0.91,-0.82,-2.41
0.28,0.89,-0.86,-2.09
0.3,0.87,-0.91,-1.68
0.32,0.86,-0.93,-1.73
0.34,0.84,-0.95,-2.68
0.36,0.82,-1.03,-3.75
0.38,0.8,-1.13,-3.44
0.4,0.77,-1.2,-1.99
0.42,0.75,-1.19,-0.99
0.44,0.72,-1.21,-1.22
0.46,0.7,-1.24,-1.93
0.48,0.67,-1.3,-2.18
0.5,0.65,-1.34,-2.04
0.52,0.62,-1.37,-1.64
0.54,0.59,-1.41,-1.38
0.56,0.56,-1.42,-1.33
0.58,0.54,-1.46,-1.47
0.6,0.51,-1.49,-1.41
0.62,0.48,-1.52,-0.87
0.64,0.45,-1.53,-0.4
0.66,0.42,-1.52,-0.3
0.68,0.39,-1.53,-0.54
0.7,0.35,-1.55,-0.65
0.72,0.32,-1.56,-0.48
0.74,0.29,-1.57,-0.27
0.76,0.26,-1.57,-0.15
0.78,0.23,-1.57,1.26
0.8,0.2,-1.58,6.32
0.82,0.17,-1.41,12.21
0.84,0.13,-0.97,239.8
0.86,0.12,-0.71,529.77
