Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2
0.08,1.05,0.02,-0.38
0.1,1.05,0.01,-0.87
0.12,1.05,-0.01,-1.36
0.14,1.05,-0.04,-2.28
0.16,1.05,-0.1,-3.49
0.18,1.05,-0.18,-4.64
0.2,1.05,-0.28,-5.59
0.22,1.04,-0.41,-6.16
0.24,1.03,-0.54,-6.3
0.26,1.02,-0.66,-6.29
0.28,1.0,-0.78,-6.37
0.3,0.99,-0.92,-6.54
0.32,0.97,-1.05,-6.47
0.34,0.95,-1.18,-5.96
0.36,0.92,-1.29,-5.2
0.38,0.89,-1.39,-4.57
0.4,0.86,-1.47,-4.44
0.42,0.83,-1.56,-4.69
0.44,0.8,-1.66,-4.98
0.46,0.77,-1.76,-5.0
0.48,0.73,-1.86,-4.76
0.5,0.69,-1.95,-4.47
0.52,0.65,-2.04,-4.23
0.54,0.61,-2.12,-4.12
0.56,0.57,-2.2,-4.06
0.58,0.52,-2.28,-3.96
0.6,0.48,-2.36,-3.74
0.62,0.43,-2.43,-3.41
0.64,0.38,-2.5,-2.94
0.66,0.33,-2.56,-1.63
0.68,0.28,-2.59,1.46
0.7,0.23,-2.54,234.11
0.72,0.17,-2.34,538.97
