Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9
0.0,0.8,,
0.02,0.8,0.0,
0.04,0.8,0.0,-0.87
0.06,0.8,-0.03,-1.24
0.08,0.8,-0.07,-0.51
0.1,0.79,-0.07,1.24
0.12,0.79,-0.02,2.59
0.14,0.79,0.06,2.02
0.16,0.8,0.1,-0.58
0.18,0.8,0.05,-3.61
0.2,0.8,-0.07,-4.91
0.22,0.8,-0.19,-3.82
0.24,0.79,-0.24,-1.65
0.26,0.79,-0.24,0.02
0.28,0.78,-0.23,0.58
0.3,0.78,-0.21,0.27
0.32,0.77,-0.2,-0.61
0.34,0.77,-0.23,-1.63
0.36,0.76,-0.28,-2.1
0.38,0.76,-0.33,-1.85
0.4,0.75,-0.36,-1.26
0.42,0.74,-0.37,-0.78
0.44,0.74,-0.39,-0.54
0.46,0.73,-0.39,-0.5
0.48,0.72,-0.4,-0.63
0.5,0.71,-0.42,-0.99
0.52,0.7,-0.44,-1.44
0.54,0.7,-0.48,-1.58
0.56,0.69,-0.52,-1.12
0.58,0.67,-0.53,-0.1
0.6,0.66,-0.52,0.74
0.62,0.65,-0.48,0.79
0.64,0.64,-0.47,-0.05
0.66,0.64,-0.48,-1.1
0.68,0.63,-0.53,-1.29
0.7,0.61,-0.56,-0.88
0.72,0.6,-0.55,-0.73
0.74,0.59,-0.57,-1.02
0.76,0.58,-0.61,-0.89
0.78,0.57,-0.62,0.01
0.8,0.55,-0.6,0.61
0.82,0.54,-0.57,0.33
0.84,0.53,-0.58,-0.26
0.86,0.52,-0.6,-0.6
0.88,0.51,-0.61,-0.64
0.9,0.5,-0.62,-0.64
0.92,0.48,-0.64,-0.72
0.94,0.47,-0.65,-0.86
0.96,0.46,-0.67,-0.9
0.98,0.44,-0.69,-0.54
1.0,0.43,-0.7,0.07
1.02,0.42,-0.68,0.37
1.04,0.4,-0.67,0.22
1.06,0.39,-0.67,-0.06
1.08,0.38,-0.68,-0.14
1.1,0.36,-0.68,-0.06
1.12,0.35,-0.68,-0.03
1.14,0.33,-0.68,-0.12
1.16,0.32,-0.68,-0.19
1.18,0.31,-0.69,-0.29
1.2,0.29,-0.69,-0.58
1.22,0.28,-0.71,-1.17
1.24,0.27,-0.74,-1.69
1.26,0.25,-0.79,-1.47
1.28,0.23,-0.81,-0.66
1.3,0.22,-0.81,0.09
1.32,0.2,-0.8,0.23
1.34,0.19,-0.79,0.1
1.36,0.17,-0.8,1.28
1.38,0.15,-0.79,4.85
1.4,0.14,-0.65,7.61
1.42,0.12,-0.37,127.12
1.44,0.12,-0.31,364.76
