Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5
0.04,0.87,0.01,0.64
0.06,0.87,0.01,-0.24
0.08,0.87,-0.01,-0.66
0.1,0.87,-0.03,-0.58
0.12,0.87,-0.04,-0.17
0.14,0.87,-0.04,0.21
0.16,0.87,-0.03,0.24
0.18,0.87,-0.02,-0.29
0.2,0.87,-0.03,-1.13
0.22,0.87,-0.07,-1.81
0.24,0.87,-0.11,-2.07
0.26,0.86,-0.15,-1.96
0.28,0.86,-0.19,-1.68
0.3,0.86,-0.22,-1.44
0.32,0.85,-0.25,-1.3
0.34,0.85,-0.27,-1.2
0.36,0.84,-0.29,-0.9
0.38,0.83,-0.32,-0.43
0.4,0.83,-0.31,-0.27
0.42,0.82,-0.31,-0.51
0.44,0.82,-0.33,-0.89
0.46,0.81,-0.35,-1.07
0.48,0.8,-0.37,-0.84
0.5,0.8,-0.4,-0.77
0.52,0.79,-0.39,-1.23
0.54,0.78,-0.43,-2.2
0.56,0.77,-0.49,-2.64
0.58,0.76,-0.56,-1.45
0.6,0.75,-0.57,0.18
0.62,0.74,-0.52,0.85
0.64,0.73,-0.51,0.24
0.66,0.72,-0.52,1.13
0.68,0.7,-0.54,2.85
0.7,0.69,-0.35,1.71
0.72,0.68,-0.34,-2.9
0.74,0.7,-0.52,-6.66
0.76,0.66,-0.72,-4.24
0.78,0.65,-0.77,0.11
0.8,0.64,-0.6,1.84
0.82,0.63,-0.63,0.72
0.84,0.61,-0.64,-0.17
0.86,0.6,-0.64,0.55
0.88,0.59,-0.61,0.59
0.9,0.58,-0.59,-0.19
0.92,0.57,-0.62,-1.1
0.94,0.55,-0.66,-1.11
0.96,0.54,-0.68,-0.43
0.98,0.53,-0.67,-0.03
1.0,0.51,-0.66,-0.34
1.02,0.5,-0.68,-0.97
1.04,0.49,-0.71,-1.17
1.06,0.47,-0.74,-0.7
1.08,0.46,-0.74,0.1
1.1,0.44,-0.73,0.74
1.12,0.43,-0.7,0.81
1.14,0.41,-0.69,0.5
1.16,0.4,-0.69,0.17
1.18,0.39,-0.68,-0.05
1.2,0.37,-0.69,-0.2
1.22,0.36,-0.69,-0.36
1.24,0.34,-0.7,-0.44
1.26,0.33,-0.71,-0.36
1.28,0.32,-0.72,-0.19
1.3,0.3,-0.72,-0.05
1.32,0.29,-0.72,-0.01
1.34,0.27,-0.72,-0.02
1.36,0.26,-0.72,-0.02
1.38,0.24,-0.72,-0.01
1.4,0.23,-0.72,0.01
1.42,0.21,-0.72,0.05
1.44,0.2,-0.72,0.07
1.46,0.19,-0.72,0.0
1.48,0.17,-0.72,0.52
1.5,0.16,-0.72,2.8
1.52,0.14,-0.65,6.75
1.54,0.13,-0.45,9.73
1.56,0.12,-0.18,9.0
1.58,0.12,-0.02,3.87
1.6,0.13,0.01,95.58
1.62,0.12,-0.17,288.8
