Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2
0.06,0.98,0.02,0.77
0.08,0.98,0.02,-0.07
0.1,0.98,0.01,-0.29
0.12,0.98,0.01,-0.29
0.14,0.98,0.0,-0.28
0.16,0.98,-0.01,-0.14
0.18,0.98,-0.01,-0.21
0.2,0.98,0.0,-1.05
0.22,0.98,-0.03,-2.52
0.24,0.98,-0.11,-3.26
0.26,0.97,-0.2,-2.07
0.28,0.97,-0.22,-0.15
0.3,0.96,-0.17,0.2
0.32,0.96,-0.16,-1.64
0.34,0.96,-0.24,-3.53
0.36,0.95,-0.35,-3.23
0.38,0.94,-0.4,-1.18
0.4,0.93,-0.39,0.73
0.42,0.93,-0.35,1.09
0.44,0.92,-0.32,0.37
0.46,0.91,-0.34,-0.2
0.48,0.91,-0.35,0.6
0.5,0.9,-0.34,0.97
0.52,0.89,-0.25,-1.45
0.54,0.89,-0.33,-5.41
0.56,0.89,-0.54,-6.63
0.58,0.86,-0.7,-2.88
0.6,0.85,-0.67,1.13
0.62,0.84,-0.54,1.8
0.64,0.83,-0.56,0.17
0.66,0.82,-0.59,-0.8
0.68,0.81,-0.6,-0.4
0.7,0.79,-0.6,-0.26
0.72,0.78,-0.6,-0.43
0.74,0.77,-0.62,-0.35
0.76,0.76,-0.63,0.22
0.78,0.75,-0.61,0.7
0.8,0.73,-0.59,0.49
0.82,0.72,-0.58,-0.3
0.84,0.71,-0.6,-0.9
0.86,0.7,-0.63,-0.84
0.88,0.68,-0.64,-0.37
0.9,0.67,-0.64,0.03
0.92,0.66,-0.64,0.19
0.94,0.65,-0.63,0.86
0.96,0.63,-0.63,1.91
0.98,0.62,-0.55,1.73
1.0,0.61,-0.49,-0.56
1.02,0.61,-0.56,-3.26
1.04,0.59,-0.68,-3.38
1.06,0.57,-0.75,-1.36
1.08,0.56,-0.71,0.3
1.1,0.55,-0.7,0.64
1.12,0.53,-0.7,0.58
1.14,0.52,-0.68,0.73
1.16,0.5,-0.66,0.59
1.18,0.49,-0.65,0.2
1.2,0.48,-0.66,-0.11
1.22,0.47,-0.66,-0.38
1.24,0.45,-0.67,-0.61
1.26,0.44,-0.69,-0.47
1.28,0.42,-0.7,0.11
1.3,0.41,-0.68,0.47
1.32,0.4,-0.66,0.26
1.34,0.38,-0.67,-0.15
1.36,0.37,-0.68,-0.29
1.38,0.36,-0.68,-0.19
1.4,0.34,-0.68,-0.15
1.42,0.33,-0.69,-0.18
1.44,0.32,-0.69,-0.18
1.46,0.3,-0.7,-0.17
1.48,0.29,-0.7,-0.17
1.5,0.27,-0.7,-0.15
1.52,0.26,-0.71,-0.06
1.54,0.25,-0.71,0.05
1.56,0.23,-0.7,0.11
1.58,0.22,-0.7,0.1
1.6,0.2,-0.7,0.05
1.62,0.19,-0.7,0.02
1.64,0.18,-0.7,0.24
1.66,0.16,-0.7,1.62
1.68,0.15,-0.67,4.68
1.7,0.13,-0.53,8.18
1.72,0.12,-0.3,9.47
1.74,0.12,-0.08,7.12
1.76,0.12,0.02,1.45
1.78,0.12,0.0,118.84
