Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
0.08,1.02,-0.13,-2.06
0.1,1.02,-0.13,-2.06
0.12,1.01,-0.17,-3.06
0.14,1.01,-0.27,-4.18
0.16,1.0,-0.37,-3.99
0.18,1.0,-0.44,-3.11
0.2,0.99,-0.48,-2.46
0.22,0.98,-0.53,-2.24
0.24,0.97,-0.57,-2.05
0.26,0.96,-0.62,-0.85
0.28,0.94,-0.64,0.71
0.3,0.93,-0.57,0.37
0.32,0.92,-0.54,-2.48
0.34,0.91,-0.67,-5.61
0.36,0.89,-0.83,-5.83
0.38,0.87,-0.95,-3.38
0.4,0.86,-0.96,-0.84
0.42,0.83,-0.95,0.73
0.44,0.82,-0.93,0.78
0.46,0.8,-0.89,-0.07
0.48,0.78,-0.92,-1.06
0.5,0.76,-0.96,-1.39
0.52,0.74,-0.98,-1.0
0.54,0.72,-1.0,-0.66
0.56,0.7,-1.01,-0.47
0.58,0.68,-1.02,-0.31
0.6,0.66,-1.02,-0.46
0.62,0.64,-1.02,-1.2
0.64,0.62,-1.06,-2.13
0.66,0.6,-1.12,-2.57
0.68,0.58,-1.18,-1.96
0.7,0.55,-1.21,-0.86
0.72,0.53,-1.2,0.0
0.74,0.5,-1.2,0.19
0.76,0.48,-1.19,0.11
0.78,0.46,-1.2,0.13
0.8,0.43,-1.19,-0.01
0.82,0.41,-1.19,-0.45
0.84,0.39,-1.21,-0.88
0.86,0.36,-1.24,-0.68
0.88,0.33,-1.25,-0.17
0.9,0.31,-1.23,0.12
0.92,0.29,-1.23,0.24
0.94,0.26,-1.23,0.68
0.96,0.24,-1.21,3.35
0.98,0.21,-1.17,6.05
1.0,0.19,-0.89,6.45
1.02,0.17,-0.83,4.24
1.04,0.17,-0.78,67.7
1.06,0.13,-0.77,200.64
