Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6
0.06,1.0,0.02,1.06
0.08,1.0,0.02,0.11
0.1,1.0,0.02,-0.32
0.12,1.0,0.01,-0.26
0.14,1.0,-0.000626,-0.22
0.16,1.0,0.01,-0.64
0.18,1.0,-0.01,-1.62
0.2,1.0,-0.06,-2.61
0.22,1.0,-0.13,-2.81
0.24,1.0,-0.19,-2.46
0.26,0.99,-0.22,-2.21
0.28,0.99,-0.26,-2.21
0.3,0.98,-0.32,-2.03
0.32,0.97,-0.36,-1.34
0.34,0.97,-0.37,-0.52
0.36,0.96,-0.37,0.03
0.38,0.95,-0.36,0.12
0.4,0.94,-0.36,-0.24
0.42,0.94,-0.37,-0.82
0.44,0.93,-0.4,-1.16
0.46,0.92,-0.43,-1.03
0.48,0.91,-0.44,-0.66
0.5,0.9,-0.45,-0.4
0.52,0.9,-0.45,-0.18
0.54,0.89,-0.46,0.2
0.56,0.88,-0.45,0.77
0.58,0.87,-0.43,1.57
0.6,0.86,-0.39,1.81
0.62,0.85,-0.33,0.77
0.64,0.85,-0.33,-1.39
0.66,0.84,-0.4,-3.15
0.68,0.83,-0.49,-2.84
0.7,0.82,-0.55,-1.74
0.72,0.81,-0.52,-0.91
0.74,0.8,-0.57,0.04
0.76,0.79,-0.57,0.78
0.78,0.77,-0.49,0.27
0.8,0.77,-0.51,-2.08
0.82,0.76,-0.6,-3.15
0.84,0.74,-0.71,-1.17
0.86,0.73,-0.67,1.14
0.88,0.72,-0.58,1.49
0.9,0.7,-0.59,0.17
0.92,0.69,-0.61,-0.48
0.94,0.68,-0.62,-0.03
0.96,0.67,-0.61,0.05
0.98,0.65,-0.6,-0.52
1.0,0.64,-0.63,-1.07
1.02,0.63,-0.67,-0.9
1.04,0.61,-0.67,-0.47
1.06,0.6,-0.67,-0.57
1.08,0.59,-0.69,-0.66
1.1,0.57,-0.72,-0.37
1.12,0.56,-0.7,-0.21
1.14,0.55,-0.7,-0.43
1.16,0.53,-0.73,-0.56
1.18,0.52,-0.74,-0.18
1.2,0.5,-0.73,0.18
1.22,0.49,-0.72,0.2
1.24,0.47,-0.72,0.14
1.26,0.46,-0.72,0.17
1.28,0.45,-0.71,0.26
1.3,0.43,-0.71,0.32
1.32,0.42,-0.7,0.34
1.34,0.4,-0.69,0.46
1.36,0.39,-0.69,0.87
1.38,0.38,-0.67,1.39
1.4,0.36,-0.62,1.26
1.42,0.35,-0.59,0.29
1.44,0.34,-0.61,-0.68
1.46,0.33,-0.64,-1.26
1.48,0.31,-0.65,-1.77
1.5,0.3,-0.7,-2.02
1.52,0.29,-0.77,-1.2
1.54,0.27,-0.78,0.54
1.56,0.25,-0.72,1.31
1.58,0.24,-0.68,0.75
1.6,0.23,-0.71,0.12
1.62,0.21,-0.71,0.27
1.64,0.2,-0.68,0.55
1.66,0.19,-0.67,0.01
1.68,0.17,-0.68,-0.11
1.7,0.16,-0.71,1.92
1.72,0.14,-0.65,5.97
1.74,0.13,-0.46,9.34
1.76,0.12,-0.21,7.35
1.78,0.12,-0.03,121.13
1.8,0.12,-0.2,356.92
