Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8
0.16,0.89,-0.34,-1.15
0.18,0.88,-0.36,-1.03
0.2,0.87,-0.38,-0.91
0.22,0.87,-0.4,-0.96
0.24,0.86,-0.41,-1.24
0.26,0.85,-0.44,-1.43
0.28,0.84,-0.48,-1.08
0.3,0.83,-0.5,-0.24
0.32,0.82,-0.48,0.21
0.34,0.81,-0.47,-0.11
0.36,0.8,-0.49,-0.66
0.38,0.79,-0.51,-0.83
0.4,0.78,-0.52,-0.65
0.42,0.77,-0.53,-0.31
0.44,0.76,-0.54,-0.09
0.46,0.75,-0.53,-0.38
0.48,0.74,-0.54,-1.12
0.5,0.73,-0.58,-1.61
0.52,0.71,-0.62,-0.93
0.54,0.7,-0.63,0.22
0.56,0.69,-0.59,0.7
0.58,0.68,-0.58,0.18
0.6,0.67,-0.59,-0.86
0.62,0.65,-0.62,-1.49
0.64,0.64,-0.66,-1.59
0.66,0.63,-0.69,-1.14
0.68,0.61,-0.71,-0.42
0.7,0.6,-0.71,0.03
0.72,0.59,-0.69,0.06
0.74,0.57,-0.7,-0.24
0.76,0.56,-0.71,-0.49
0.78,0.54,-0.72,-0.67
0.8,0.53,-0.73,-0.89
0.82,0.51,-0.76,-0.95
0.84,0.5,-0.78,-0.63
0.86,0.48,-0.79,-0.02
0.88,0.47,-0.78,0.31
0.9,0.45,-0.76,0.29
0.92,0.44,-0.77,0.13
0.94,0.42,-0.76,0.13
0.96,0.41,-0.76,0.33
0.98,0.39,-0.75,0.48
1.0,0.38,-0.74,0.58
1.02,0.36,-0.73,0.6
1.04,0.35,-0.71,0.61
1.06,0.33,-0.7,0.22
1.08,0.32,-0.69,-0.79
1.1,0.31,-0.73,-1.72
1.12,0.29,-0.79,-1.65
1.14,0.27,-0.81,-0.54
1.16,0.26,-0.8,0.32
1.18,0.24,-0.78,0.38
1.2,0.23,-0.79,0.21
1.22,0.21,-0.78,0.35
1.24,0.19,-0.77,0.56
1.26,0.18,-0.75,0.58
1.28,0.16,-0.75,1.8
1.3,0.15,-0.73,5.22
1.32,0.13,-0.57,9.18
1.34,0.12,-0.3,10.28
1.36,0.12,-0.08,7.28
1.38,0.12,0.01,2.99
1.4,0.12,-0.01,1.56
1.42,0.12,-0.01,2.67
1.44,0.12,0.13,2.74
1.46,0.12,0.19,-1.88
1.48,0.14,0.12,
