Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.74,,0.74,,0.74,0.2,0.74,,0.74,0.16,0.74,,0.74,0.37,0.74,0.23,0.74,0.41,0.74,0.63
0.76,,0.76,,0.76,0.15,0.76,,0.76,0.13,0.76,,0.76,0.33,0.76,0.2,0.76,0.39,0.76,0.62
0.78,,0.78,,0.78,0.12,0.78,,0.78,,0.78,,0.78,0.3,0.78,0.17,0.78,0.36,0.78,0.6
0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,0.26,0.8,0.13,0.8,0.33,0.8,0.59
0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,0.23,0.8200000000000001,0.12,0.8200000000000001,0.31,0.8200000000000001,0.57
0.84,,0.84,,0.84,,0.84,,0.84,,0.84,,0.84,0.19,0.84,,0.84,0.29,0.84,0.56
0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,0.26,0.86,0.54
0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,0.24,0.88,0.52
0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,0.21,0.9,0.51
0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,0.19,0.92,0.49
0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,0.17,0.9400000000000001,0.48
0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,0.17,0.96,0.46
0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,0.13,0.98,0.44
1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,0.42
1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,0.41
1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,0.39
1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,0.37
1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,0.35
1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,0.34
1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,0.32
1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,0.3
1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,0.28
1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,0.26
1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,0.25
1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,0.23
1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,0.21
1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,0.19
1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,0.18
1.3,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,,1.3,0.16
1.32,,1.32,,1.32,,1.32,,1.32,,1.32,,1.32,,1.32,,1.32,,1.32,0.14
1.34,,1.34,,1.34,,1.34,,1.34,,1.34,,1.34,,1.34,,1.34,,1.34,0.13
1.36,,1.36,,1.36,,1.36,,1.36,,1.36,,1.36,,1.36,,1.36,,1.36,0.13
